units,melon,egg,fertilizer,wheat,wool
1,250,50,100,25,200
2,500,99,200,49,400
3,750,147,300,73,600
4,1000,195,399,97,799
5,1250,242,498,121,998
6,1500,289,597,145,1197
7,1750,336,696,168,1395
8,2000,382,795,191,1592
9,2249,428,893,214,1788
10,2498,474,991,237,1983
11,2747,520,1089,260,2177
12,2996,566,1187,283,2370
13,3245,612,1285,306,2562
14,3493,657,1382,329,2752
15,3741,702,1479,352,2941
16,3989,747,1576,375,3128
17,4236,792,1673,398,3313
18,4483,837,1770,421,3496
19,4730,882,1866,444,3677
20,4976,927,1962,467,3856
21,5222,972,2058,489,4033
22,5468,1017,2154,511,4207
23,5713,1062,2250,533,4379
24,5958,1107,2345,555,4548
25,6202,1151,2440,577,4715
26,6446,1195,2535,599,4879
27,6689,1239,2630,621,5040
28,6932,1283,2725,643,5198
29,7174,1327,2819,665,5352
30,7416,1371,2913,687,5503
31,7657,1415,3007,709,5651
32,7897,1459,3101,731,5795
33,8137,1503,3195,753,5936
34,8376,1547,3288,775,6073
35,8614,1591,3381,797,6206
36,8852,1635,3474,819,6335
37,9089,1679,3567,841,6460
38,9325,1723,3660,863,6581
39,9561,1767,3752,885,6697
40,9796,1811,3844,907,6809
41,10030,1855,3936,929,6916
42,10263,1899,4028,951,7018
43,10495,1943,4120,973,7116
44,10727,1986,4211,995,7209
45,10958,2029,4302,1017,7297
46,11188,2072,4393,1039,7379
47,11417,2115,4484,1061,7456
48,11645,2158,4575,1083,7528
49,11872,2201,4665,1105,7594
50,12098,2244,4755,1127,7655
51,12323,2287,4845,1149,7710
52,12547,2330,4935,1171,7759
53,12770,2373,5025,1193,7802
54,12992,2416,5114,1215,7839
55,13213,2459,5203,1237,7870
56,13433,2502,5292,1259,7894
57,13652,2545,5381,1281,7912
58,13870,2588,5470,1303,7923
59,14086,2631,5558,1325,7928
60,14301,2674,5646,1347,7929
61,14515,2717,5734,1369,7930
62,14728,2760,5822,1391,7931
63,14940,2803,5910,1413,7932
64,15150,2846,5997,1435,7933
65,15359,2889,6084,1457,7934
66,15567,2932,6171,1479,7935
67,15773,2975,6258,1500,7936
68,15978,3018,6345,1521,7937
69,16182,3061,6431,1542,7938
70,16384,3104,6517,1563,7939
71,16585,3147,6603,1584,7940
72,16785,3190,6689,1605,7941
73,16983,3233,6775,1626,7942
74,17180,3276,6860,1647,7943
75,17375,3319,6945,1668,7944
76,17569,3362,7030,1689,7945
77,17761,3405,7115,1710,7946
78,17952,3447,7200,1731,7947
79,18141,3489,7284,1752,7948
80,18329,3531,7368,1773,7949
81,18515,3573,7452,1794,7950
82,18699,3615,7536,1815,7951
83,18882,3657,7620,1836,7952
84,19063,3699,7703,1857,7953
85,19242,3741,7786,1878,7954
86,19420,3783,7869,1899,7955
87,19596,3825,7952,1920,7956
88,19770,3867,8035,1941,7957
89,19943,3909,8117,1962,7958
90,20114,3951,8199,1983,7959
91,20283,3993,8281,2004,7960
92,20450,4035,8363,2025,7961
93,20615,4077,8445,2046,7962
94,20779,4119,8526,2067,7963
95,20941,4161,8607,2088,7964
96,21101,4203,8688,2109,7965
97,21259,4245,8769,2130,7966
98,21415,4287,8850,2151,7967
99,21569,4329,8930,2172,7968
100,21721,4371,9010,2193,7969
101,21871,4413,9090,2214,7970
102,22019,4455,9170,2235,7971
103,22165,4497,9250,2256,7972
104,22309,4539,9329,2277,7973
105,22451,4581,9408,2298,7974
106,22591,4623,9487,2319,7975
107,22729,4665,9566,2340,7976
108,22865,4707,9645,2361,7977
109,22998,4749,9723,2382,7978
110,23129,4791,9801,2403,7979
111,23258,4833,9879,2424,7980
112,23385,4875,9957,2445,7981
113,23510,4917,10035,2466,7982
114,23632,4959,10112,2487,7983
115,23752,5001,10189,2508,7984
116,23870,5043,10266,2529,7985
117,23985,5085,10343,2550,7986
118,24098,5127,10420,2571,7987
119,24209,5169,10496,2592,7988
120,24317,5211,10572,2613,7989
121,24423,5253,10648,2634,7990
122,24527,5295,10724,2655,7991
123,24628,5337,10800,2676,7992
124,24727,5379,10875,2697,7993
125,24823,5421,10950,2718,7994
126,24917,5463,11025,2739,7995
127,25008,5505,11100,2760,7996
128,25097,5547,11175,2781,7997
129,25183,5589,11249,2802,7998
130,25267,5631,11323,2823,7999
131,25348,5673,11397,2844,8000
132,25426,5715,11471,2865,8001
133,25502,5757,11545,2886,8002
134,25575,5799,11618,2907,8003
135,25645,5841,11691,2928,8004
136,25713,5883,11764,2949,8005
137,25778,5925,11837,2970,8006
138,25840,5967,11910,2991,8007
139,25900,6009,11982,3012,8008
140,25957,6050,12054,3033,8009
141,26011,6091,12126,3054,8010
142,26062,6132,12198,3075,8011
143,26110,6173,12270,3096,8012
144,26156,6214,12341,3117,8013
145,26199,6255,12412,3138,8014
146,26239,6296,12483,3159,8015
147,26276,6337,12554,3180,8016
148,26310,6378,12625,3201,8017
149,26341,6419,12695,3222,8018
150,26369,6460,12765,3243,8019
151,26394,6501,12835,3264,8020
152,26416,6542,12905,3285,8021
153,26435,6583,12975,3306,8022
154,26451,6624,13044,3327,8023
155,26464,6665,13113,3348,8024
156,26474,6706,13182,3369,8025
157,26481,6747,13251,3390,8026
158,26485,6788,13320,3411,8027
159,26486,6829,13388,3432,8028
160,26487,6870,13456,3453,8029
161,26488,6911,13524,3474,8030
162,26489,6952,13592,3495,8031
163,26490,6993,13660,3516,8032
164,26491,7034,13727,3537,8033
165,26492,7075,13794,3558,8034
166,26493,7116,13861,3579,8035
167,26494,7157,13928,3600,8036
168,26495,7198,13995,3621,8037
169,26496,7239,14061,3642,8038
170,26497,7280,14127,3663,8039
171,26498,7321,14193,3684,8040
172,26499,7362,14259,3705,8041
173,26500,7403,14325,3726,8042
174,26501,7444,14390,3747,8043
175,26502,7485,14455,3768,8044
176,26503,7526,14520,3789,8045
177,26504,7567,14585,3810,8046
178,26505,7608,14650,3831,8047
179,26506,7649,14714,3852,8048
180,26507,7690,14778,3873,8049
181,26508,7731,14842,3894,8050
182,26509,7772,14906,3915,8051
183,26510,7813,14970,3936,8052
184,26511,7854,15033,3957,8053
185,26512,7895,15096,3978,8054
186,26513,7936,15159,3999,8055
187,26514,7977,15222,4020,8056
188,26515,8018,15285,4041,8057
189,26516,8059,15347,4062,8058
190,26517,8100,15409,4083,8059
191,26518,8141,15471,4104,8060
192,26519,8182,15533,4125,8061
193,26520,8223,15595,4146,8062
194,26521,8264,15656,4167,8063
195,26522,8305,15717,4188,8064
196,26523,8346,15778,4209,8065
197,26524,8387,15839,4230,8066
198,26525,8428,15900,4251,8067
199,26526,8469,15960,4272,8068
200,26527,8510,16020,4293,8069
201,26528,8551,16080,4314,8070
202,26529,8592,16140,4335,8071
203,26530,8633,16200,4356,8072
204,26531,8674,16259,4377,8073
205,26532,8715,16318,4398,8074
206,26533,8756,16377,4419,8075
207,26534,8797,16436,4440,8076
208,26535,8838,16495,4461,8077
209,26536,8879,16553,4482,8078
210,26537,8920,16611,4503,8079
